latitude,longitude,altitude,geometry,@id,amenity,created_by,disused,note,fee,wheelchair,changing_table,female,male,name,opening_hours,operator,layer,access,charge,payment:coins,toilets:disposal,toilets:wheelchair,unisex,opening_hours:covid19,wheelchair:description,level,toilets:access,fixme,addr:city,addr:housename,addr:postcode,payment:apple_pay,payment:cash,payment:google_pay,payment:paywave,wheelchair:description:en,addr:street,description,source:description,source:male,supervised,source,capacity,verified,designation,check_date:wheelchair,mapillary,survey:date,toilets:scheme,indoor,disabled,addr:housenumber,toilets:handwashing,fee:note,fee:amount,drinking_water,toilets:position,location,changing_table:location,gender,toilets,level:ref,toilets:num_chambers,toilets:paper_supplied,toilets:supervised,addr:unit,child,building,contact:phone,payment:credit_cards,covered,natural
51.4087329,-0.3323747,,Point,node/20849686,toilets,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4059121,-0.3360281,,Point,node/20910215,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5233931,-0.1194082,,Point,node/25475748,toilets,,yes,currently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4947547,-0.1322335,,Point,node/25534499,toilets,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4515966,0.0508674,,Point,node/26049416,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5159737,-0.1885334,,Point,node/26819248,toilets,,,,no,,yes,yes,yes,Queensway,Mo-Su 07:30-00:30,City of Westminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4749456,-0.3005302,,Point,node/30442251,toilets,Potlatch 0.6a,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4728373,-0.2929619,,Point,node/30442336,toilets,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4815655,-0.2978537,,Point,node/30581735,toilets,Potlatch 0.6a,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4524003,-0.1099907,,Point,node/33378270,toilets,Potlatch 0.4c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.559457,-0.1518909,,Point,node/54070004,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.47427,-0.092829,,Point,node/60460567,toilets,,,,,limited,,yes,yes,Camberwell Green,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4782814,-0.2906682,,Point,node/207145549,toilets,Potlatch 0.6a,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5049358,-0.1596237,,Point,node/235424107,toilets,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5128382,-0.1607747,,Point,node/239713872,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4904026,-0.3516626,,Point,node/243834668,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4814709,-0.0922411,,Point,node/247049800,toilets,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.510153,-0.186958,,Point,node/247324371,toilets,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.536241,-0.1024704,,Point,node/252934371,toilets,,,,yes,yes,no,,,,24/7,,,yes,£0.20,only,flush,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4698778,-0.3582539,,Point,node/253100929,toilets,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3661622,-0.1602824,,Point,node/253369110,toilets,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.51433,-0.0562347,,Point,node/255396286,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5141839,-0.201334,,Point,node/255684945,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4058285,0.1775002,,Point,node/256113440,toilets,,,,,yes,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3636259,0.1969253,,Point,node/256489992,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5176064,-0.1186281,,Point,node/257422992,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.561309,-0.0862947,,Point,node/262443427,toilets,,,,no,yes,,,,,,,,,,,,,,12:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4944406,0.0643276,,Point,node/262903620,toilets,,,,,,,,,,07:00-18:00,Greenwich Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4968424,-0.2147469,,Point,node/266819600,toilets,,,Automated toilets,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.6319909,-0.1755956,,Point,node/267188423,toilets,Potlatch 0.9b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.6876807,-0.2222177,,Point,node/269610169,toilets,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4950164,-0.0549786,,Point,node/269890771,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5433675,-0.3235723,,Point,node/270748491,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4488678,-0.1067566,,Point,node/273460550,toilets,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4682771,-0.066871,,Point,node/280885803,toilets,Potlatch 0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3061546,0.2305557,,Point,node/281355327,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4486164,-0.106439,,Point,node/281580306,toilets,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5256686,-0.153889,,Point,node/281851493,toilets,Potlatch 0.10b,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5133597,-0.1131758,,Point,node/282569729,toilets,,,,,no,,,,,,,,yes,,,,no,yes,,downstairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5279178,0.0049809,,Point,node/283162497,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4451323,-0.1515175,,Point,node/286480244,toilets,Potlatch 0.10b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4960194,-0.2637003,,Point,node/288562205,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.502968,-0.2803045,,Point,node/288980690,toilets,,,"Pay, Men only",yes,limited,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4808913,-0.0078373,,Point,node/290985718,toilets,,,underground,,no,,yes,yes,King William Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4219664,-0.1195403,,Point,node/291647639,toilets,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.6131726,-0.1583019,,Point,node/297701210,toilets,Potlatch 0.10b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.421835,-0.3668122,,Point,node/298007677,toilets,,,,,yes,,,,Accesible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.392321,-0.304565,,Point,node/298288065,toilets,,,,no,no,no,,yes,Surbiton Station,,,,yes,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3125749,-0.2480047,,Point,node/317651332,toilets,,,,,,,,,Epsom downs,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5680823,-0.1850038,,Point,node/321223692,toilets,,,,no,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4834352,-0.2647904,,Point,node/321311369,toilets,,,,,,,,,,Permanently Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5300139,-0.2930826,,Point,node/323990551,toilets,,,,,,,,,,,TFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5908323,-0.4330959,,Point,node/329105463,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5715869,-0.166981,,Point,node/331289045,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5720875,-0.1941982,,Point,node/331922282,toilets,,,confirmed open 201703,no,,,yes,no,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4050572,-0.3379018,,Point,node/332492772,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5692691,-0.1436025,,Point,node/332925681,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.6526229,-0.0863586,,Point,node/333300005,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5550196,-0.1101717,,Point,node/336369392,toilets,,,,,,,,,,,,,,,,,,,,,,,verify -- not shown as toilet on park map http://queenelizabetholympicpark.co.uk/the-park/plan-your-visit/interactive-park-map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5180079,-0.1100686,,Point,node/338472531,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5082227,-0.1285642,,Point,node/339925126,toilets,,,,yes,yes,,,,Trafalgar Square Toilets,Mo-Su 10:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.503634,-0.1133529,,Point,node/344521109,toilets,,,,no,yes,yes,yes,no,Waterloo Station,24/7,,,,,,,yes,,,,1,,,London,London Waterloo Station,SE1 8SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3644212,-0.191795,,Point,node/345397964,toilets,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5046837,-0.1300195,,Point,node/346352276,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.510804,-0.1299655,,Point,node/348814978,toilets,,,,,no,,no,yes,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5109208,-0.085803,,Point,node/350409063,toilets,,,Accessed via steps in traffic island,yes,no,,yes,yes,Toilets - CLOSED,,,,no,,,,no,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4377078,-0.231874,,Point,node/353890734,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.6191395,-0.1622275,,Point,node/366238452,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3860721,-0.2902561,,Point,node/369007992,toilets,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4452359,-0.0786093,,Point,node/370261548,toilets,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.515633,-0.132367,,Point,node/380494795,toilets,,,,,,,,yes,,Mo-Su 18:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4529298,-0.2211708,,Point,node/386703361,toilets,,,,yes,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5279147,-0.1525933,,Point,node/389681906,toilets,,,,yes,yes,,yes,yes,,,The Royal Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5325517,-0.1580494,,Point,node/389688170,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4391848,0.2171305,,Point,node/390986667,toilets,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.6252845,-0.282868,,Point,node/414239364,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4031467,-0.3695658,,Point,node/432011116,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5140187,-0.1260526,,Point,node/438170659,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.532468,-0.0328813,,Point,node/443418088,toilets,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4455574,0.2154418,,Point,node/448525850,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.443267,0.2196098,,Point,node/448568660,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5945064,0.2357036,,Point,node/459678291,toilets,,,,0.10 GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3531776,0.0895002,,Point,node/461686710,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5295942,-0.0973219,,Point,node/462008328,toilets,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.482147,-0.010168,,Point,node/477366640,toilets,,,,yes,yes,,yes,yes,Cutty Sark,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4375837,0.0718831,,Point,node/477530711,toilets,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5463345,-0.0758927,,Point,node/479029658,toilets,,,,yes,limited,,,,Toilet,,,,public,,,,,,,"Radar key operated, room to fit a wheelchair but transfers would be difficult.  These toilets are frequently out of order.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4894888,0.0451704,,Point,node/482704445,toilets,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4522755,0.1795366,,Point,node/491410750,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5212956,-0.1811493,,Point,node/497379966,toilets,,,,,,,,,,Mo-Su sunrise-sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5136431,-0.135737,,Point,node/499350869,toilets,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"The wheelchair accessible toilet is located at street level, the non-disabled toilets are located down steps and are not wheelchair accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5243719,-0.2014118,,Point,node/511645366,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5747984,-0.3702692,,Point,node/541172777,toilets,,,,,,,,,,,Harrow Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3171136,-0.4536992,,Point,node/552801789,toilets,,,,,no,,,,Ockham Bites,,,,,,,,no,,,Padlocked SHUT when cafe is closed. Therefore rated RED until I am able to check internally. RADAR Key.,,,,,,,,,,,,Old Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5176778,-0.0816015,,Point,node/553308759,toilets,,,,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3999246,-0.0202054,,Point,node/563313189,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4800331,-0.1781289,,Point,node/564744078,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5117346,-0.1216725,,Point,node/566313868,toilets,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5824191,-0.1499555,,Point,node/581143053,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5075636,-0.121849,,Point,node/588175347,toilets,,,,yes,yes,,,,Embankment Toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5089214,-0.1259481,,Point,node/596763309,toilets,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"""Pissoir"" Numbers 1s only!",survey,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.518342,-0.2068223,,Point,node/639141976,toilets,,,,yes,yes,,,,Pay toilet accessable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4174712,-0.0823788,,Point,node/646762510,toilets,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5473225,-0.0724518,,Point,node/654083991,toilets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.472008,-0.217745,,Point,node/662427640,toilets,,,,,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5139342,-0.0750045,,Point,node/666920937,toilets,,,An automated Sanisette superloo,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4843154,-0.2579051,,Point,node/679121842,toilets,,,,,,,,,Cafe Lavatories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5088161,-0.0788891,,Point,node/694510919,toilets,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4834214,-0.292875,,Point,node/703499479,toilets,,,,,yes,,,,Orangery Restaurant,,,,,,,,,,,Only 120cm turning circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4826251,-0.29556,,Point,node/703499480,toilets,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
